"national";-0.01267;0.00111;0.1;0.10281;0.07171;0.09334;-0.13303;0.37534;0.07272;0.13358;0.15429;0.8536;-0.05444;0.12525;0.06228;0.19723;-0.05719;0.19901;0.08707;0.47922
"place";-0.12216;0.08182;-0.06141;0.03064;0.13662;0.26776;-0.18689;0.58542;-0.08526;0.14511;0.01606;0.00731;0.03136;0.03284;0.03703;0.05511;0.03564;0.06107;-0.01149;0.0066
"route";0.29382;0.94191;0.19646;0.62405;-0.1698;0.82292;-0.02286;0.01744;0.22871;2.07795;-0.14944;1.25926;0.03996;0.1061;-0.08;0.51168;-0.06509;0.40543;-0.05254;0.27436
"same";0.25652;0.41605;0.10235;0.09815;-0.04357;0.03141;0.01185;0.00272;-0.07195;0.11917;0.03725;0.04533;-0.02732;0.02874;0.12938;0.77565;-0.16013;1.42194;-0.191;2.10135
"provide";0.1461;0.12541;-0.04692;0.01916;-0.03155;0.0153;0.07758;0.10809;0.07991;0.13658;-0.06026;0.11024;-0.01177;0.00496;0.04679;0.09424;0.0756;0.2945;0.01061;0.00602
"we";-0.00705;0.00033;-0.04531;0.01992;0.13714;0.32208;0.06298;0.07938;0.31559;2.37383;0.15737;0.83786;0.10754;0.46114;-0.07039;0.23769;0.0448;0.11522;0.06107;0.22245
"Central";0.32312;0.72438;0.10911;0.12239;-0.10229;0.1899;0.10651;0.24059;0.09702;0.23776;-0.01149;0.00473;-0.00327;0.00045;0.14021;0.99953;-0.16365;1.62964;-0.20075;2.54714
"about";0.17746;0.17797;0.05884;0.02899;-0.11865;0.20811;-0.0278;0.01335;-0.00222;1e-04;0.07489;0.16382;-0.14966;0.77098;0.06799;0.19147;-0.16832;1.40419;0.01094;0.00616
"information";-0.27971;0.77048;0.09525;0.1324;-0.24155;1.50312;-0.26957;2.18744;-0.03676;0.04845;-0.07946;0.3213;-0.00994;0.00593;0.07148;0.36869;-0.02103;0.03818;-0.02429;0.05293
"land";-0.14862;0.1792;-0.10911;0.14313;-0.14704;0.45891;0.33934;2.85581;0.03271;0.03161;-0.17217;1.24292;0.12311;0.749;0.05008;0.14913;0.07925;0.44693;0.12178;1.09612
"months";0.43041;1.10911;0.17231;0.26341;-0.05194;0.04225;0.03357;0.02062;0.09899;0.21359;-0.1021;0.32255;0.0387;0.05462;-0.00324;0.00046;-0.04563;0.10933;0.04483;0.10963
"support";0.06669;0.03559;0.09054;0.0972;0.02743;0.01575;0.01677;0.00688;0.0452;0.05952;-0.009;0.00335;-0.06244;0.18998;-0.06979;0.2856;0.03572;0.08955;-0.01768;0.02278
"Forum";0.23067;0.39596;0.26152;0.75417;-0.17204;0.57622;0.02106;0.01009;-0.44356;5.33078;0.249;2.38459;0.11203;0.5689;-0.04559;0.11336;-0.20899;2.85074;-0.00508;0.00175
"It";0.10474;0.07058;0.11677;0.13002;0.01159;0.00226;0.06798;0.0909;0.0035;0.00029;-0.00965;0.00309;0.0897;0.31533;-0.01014;0.00485;0.12387;0.86586;-0.01587;0.01477
"Joint";-0.12935;0.10673;-0.0893;0.07537;0.08237;0.11322;0.18769;0.68689;-0.19868;0.91672;-0.23289;1.78793;-0.29428;3.36445;0.14504;0.98342;0.07263;0.29513;0.13315;1.03014
"Schengen";-0.10249;0.04937;-0.07751;0.04184;0.29305;1.0559;-0.05027;0.03631;-0.06889;0.08122;-0.00272;0.00018;-0.07054;0.14243;0.08364;0.24095;0.11178;0.51504;-0.00037;1e-05
"crossings";0.46269;1.52125;0.42494;1.90143;-0.10851;0.2189;0.04155;0.0375;0.24464;1.54841;0.11252;0.46494;0.05367;0.12466;0.28608;4.26201;-0.03793;0.08967;-0.06139;0.24395
"including";-0.14316;0.14106;-0.06633;0.04487;-0.14163;0.36116;-0.08983;0.16977;-0.02467;0.01525;-0.17471;1.0856;0.1462;0.89597;-0.01287;0.00836;-0.07028;0.29814;0.05299;0.17607
"such";-0.13893;0.12744;0.02697;0.00712;0.01474;0.00375;-0.11045;0.2462;-0.1086;0.28349;-0.19293;1.27009;0.03729;0.05593;0.01709;0.01412;0.03912;0.0886;0.07286;0.31932
"week";0.32628;0.50036;0.08062;0.04526;-0.04136;0.02104;0.05186;0.03863;-0.13915;0.33135;0.05453;0.07223;-0.01531;0.00671;0.053;0.09676;0.05031;0.10436;-0.02501;0.02678
"Coast";0.55334;3.51209;0.57997;5.71736;-0.0626;0.11758;-0.01379;0.00667;0.06387;0.17034;0.01095;0.00711;-0.0583;0.23744;-0.02096;0.03692;0.08187;0.67424;0.08832;0.81519
"Consultative";0.22156;0.3351;0.22209;0.49895;-0.18795;0.63084;0.04081;0.03475;-0.45017;5.03667;0.25523;2.2981;0.12582;0.65814;-0.05221;0.13634;-0.20612;2.54351;-0.03887;0.09396
"our";0.23037;0.29695;0.14522;0.17486;0.10624;0.16522;0.03164;0.01712;0.1491;0.4529;0.10838;0.33965;0.08524;0.24759;-0.05595;0.12834;0.0768;0.28945;0.03111;0.04932
"area";-0.05718;0.02067;-0.08253;0.06381;-0.07949;0.10451;0.2947;1.67853;0.27048;1.68408;0.03576;0.04179;-0.01657;0.01057;0.12723;0.7501;0.01507;0.0126;-0.01534;0.01355
"month";0.56769;1.83927;0.29274;0.72475;-0.0497;0.03688;-0.0042;0.00031;0.09006;0.16853;-0.04059;0.04859;-0.02608;0.02365;-0.00624;0.00163;-0.02835;0.04023;-0.08284;0.35677
"sea";0.00778;4e-04;0.09724;0.09173;0.20255;0.7026;0.07942;0.12621;0.06191;0.09137;0.06211;0.13054;0.02032;0.01646;-0.10821;0.56179;0.10878;0.67941;0.17976;1.9272
"work";0.07864;0.03979;0.1308;0.16313;0.0862;0.12509;-0.04166;0.03413;0.03658;0.03135;0.03865;0.04968;-0.05104;0.10211;-0.09392;0.41596;0.07052;0.28065;-0.02121;0.02637
"working";-0.07116;0.02777;-0.00258;5e-05;0.2072;0.61583;0.08307;0.11565;-0.40361;3.25221;-0.13827;0.54183;0.11053;0.408;0.0565;0.12827;-0.02556;0.03142;-0.04901;0.11998
"%";0.25001;0.77643;0.15902;0.46548;-0.10203;0.33826;0.27567;2.88545;0.17404;1.36982;-0.22828;3.34547;-0.03543;0.09499;-0.11814;1.27043;0.03432;0.12833;0.00905;0.00926
"can";-0.07083;0.03116;0.12409;0.14171;0.05063;0.04165;-0.1506;0.43061;-0.00494;0.00055;0.10754;0.37118;0.04538;0.0779;-0.03356;0.05127;-0.0261;0.03711;0.03715;0.0781
