"id","title","date"
"frontex-expands-its-joint-operation-triton-udpbHP","Frontex expands its Joint Operation Triton","2015-05-26"
"frontex-expresses-concern-over-incident-involving-guest-officers-in-mitilini-CpYjTR","Frontex expresses concern over incident involving guest officers in Mitilini","2010-03-17"
"frontex-expresses-condolences-after-attacks-in-brussels-J0Oo1a","Frontex expresses condolences after attacks in Brussels","2016-03-22"
"frontex-expresses-deepest-condolences-after-nice-attacks-L80N2b","Frontex expresses deepest condolences after Nice attacks","2016-07-15"
"frontex-expresses-deepest-condolences-after-paris-attacks-pz7zQb","Frontex expresses deepest condolences after Paris attacks","2015-11-16"
"frontex-facts-and-myths-BYxkX5","Frontex - Facts and Myths","2007-06-11"
"frontex-guest-officers-sent-to-work-in-italy-URXwE0","Frontex Guest Officers Sent to Work in Italy","2011-02-25"
"frontex-head-calls-for-more-powers-to-detect-and-prevent-human-trafficking--wjNxGI","Frontex Head Calls for More Powers to Detect and Prevent Human Trafficking ","2010-10-18"
"frontex-helps-italy-track-down-people-smugglers-3wtAmW","Frontex helps Italy track down people smugglers","2017-07-20"
"frontex-helps-rescue-dozens-in-the-aegean-nM85Vj","Frontex helps rescue dozens in the Aegean","2015-09-14"
"frontex-helps-save-3-400-migrants-off-libyan-coast-last-week-QEmmR0","Frontex helps save 3 400 migrants off Libyan coast last week","2015-08-25"
"frontex-helps-seize-40-tonnes-of-hashish-in-operation-in-spain-7RpdCA","Frontex helps seize 40 tonnes of hashish in operation in Spain","2016-09-21"
"frontex-helps-train-libyan-coast-guard-zxRCnE","Frontex helps train Libyan Coast Guard","2016-12-13"
